Hole_Number,Hole_Yardage,Hole_Par
1,374,4
2,389,4
3,552,5
4,203,3
5,542,5
6,181,3
7,467,4
8,397,4
9,417,4
10,408,4
11,553,5
12,431,4
13,154,3
14,431,4
15,196,3
16,391,4
17,409,4
18,400,4
