Hole_Number,Hole_Yardage,Hole_Par
1,406,4
2,343,4
3,347,4
4,464,5
5,337,4
6,148,3
7,328,4
8,306,4
9,159,3
10,428,4
11,349,4
12,365,4
13,470,5
14,354,4
15,177,3
16,337,4
17,333,4
18,185,3
